timestamp,type,pid,cpu_percent,memory_percent,memory_used,memory,gpu_percent,gpu_power,disk_read_rate,disk_write_rate,network_download,network_upload,cmdline
2025-05-26T21:14:48.783810,system,,1.9,16.5,9369354240,,1.4901161193847656e-06,,6144.0,2127872.0,512.0,0.0,
2025-05-26T21:14:51.326451,system,,5.0,16.6,9463857152,,1.4901161193847656e-06,,167936.0,10240.0,4096.0,2560.0,
2025-05-26T21:14:53.871033,system,,10.8,12.7,6773768192,,1.4901161193847656e-06,,157648896.0,1292288.0,33280.0,3584.0,
2025-05-26T21:14:56.358654,system,,18.3,13.2,7091437568,,1.4901161193847656e-06,,117221376.0,14774272.0,1024.0,512.0,
2025-05-26T21:14:58.844613,system,,17.5,13.4,7251329024,,1.4901161193847656e-06,,101312512.0,16384.0,512.0,512.0,
2025-05-26T21:15:01.348386,system,,20.8,21.5,12851445760,,1.4901161193847656e-06,,2932996096.0,49152.0,4096.0,1024.0,
2025-05-26T21:15:03.841732,system,,15.2,41.1,26295369728,,1.4901161193847656e-06,,6525734912.0,0.0,1024.0,512.0,
2025-05-26T21:15:06.339858,system,,10.6,41.4,26535477248,,1.4901161193847656e-06,,153620480.0,24576.0,5120.0,2048.0,
2025-05-26T21:15:08.864005,system,,14.3,41.8,26799865856,,1.4901161193847656e-06,,115916800.0,2048.0,512.0,512.0,
2025-05-26T21:15:11.367394,system,,11.0,46.0,29657939968,,1.4901161193847656e-06,,4435968.0,1869824.0,0.0,0.0,
2025-05-26T21:15:13.854271,system,,11.9,46.3,29850992640,,1.4901161193847656e-06,,15585280.0,14336.0,3072.0,4096.0,
2025-05-26T21:15:16.372947,system,,12.2,47.0,30319820800,,1.4901161193847656e-06,,8079360.0,1347584.0,512.0,512.0,
2025-05-26T21:15:18.877001,system,,17.8,50.3,32645169152,,1.4901161193847656e-06,,18716672.0,6144.0,512.0,512.0,
2025-05-26T21:15:21.378635,system,,11.7,50.8,32962936832,,1.4901161193847656e-06,,12015616.0,59392.0,5120.0,3072.0,
2025-05-26T21:15:23.860707,system,,13.9,51.2,33328316416,,1.4901161193847656e-06,,8361984.0,1214464.0,1024.0,0.0,
2025-05-26T21:15:26.371258,system,,18.9,53.0,34581479424,,1.4901161193847656e-06,,4689920.0,624640.0,512.0,512.0,
2025-05-26T21:15:28.871459,system,,13.7,48.7,31621578752,,1.4901161193847656e-06,,3356672.0,684032.0,0.0,512.0,
2025-05-26T21:15:31.361466,system,,14.0,48.9,31769673728,,1.4901161193847656e-06,,1214464.0,63488.0,512.0,0.0,
2025-05-26T21:15:33.872757,system,,13.9,53.9,35181051904,,1.4901161193847656e-06,,1304576.0,8192.0,512.0,512.0,
2025-05-26T21:15:36.550810,system,,25.0,55.3,33164656640,,1.4901161193847656e-06,,71680.0,92160.0,0.0,512.0,
2025-05-26T21:15:39.614082,system,,22.9,57.2,31862145024,,1.4901161193847656e-06,,2623488.0,75776.0,4096.0,2048.0,
